frame_id,img_name,natural_language_description
0,2022-07-14--14-32-55--10_0466,The traffic light is red. The road is clear.
1,2022-07-14--14-32-55--10_0467,The traffic light is red. The road is clear.
2,2022-07-14--14-32-55--10_0468,The traffic light is red. The road is clear.
3,2022-07-14--14-32-55--10_0469,The traffic light is red. The road is clear.
4,2022-07-14--14-32-55--10_0470,The traffic light is red. The road is clear.
5,2022-07-14--14-32-55--10_0471,The traffic light is red. The road is clear.
6,2022-07-14--14-32-55--10_0472,The traffic light is red. The road is clear.
7,2022-07-14--14-32-55--10_0473,The traffic light is red. The road is clear.
8,2022-07-14--14-32-55--10_0474,The traffic light is red. The road is clear.
9,2022-07-14--14-32-55--10_0475,The traffic light is red. The road is clear.
10,2022-07-14--14-32-55--10_0476,The traffic light is red. The road is clear.
11,2022-07-14--14-32-55--10_0477,The traffic light is red. The road is clear.
12,2022-07-14--14-32-55--10_0478,The traffic light is red. The road is clear.
13,2022-07-14--14-32-55--10_0479,The traffic light is red. The road is clear.
14,2022-07-14--14-32-55--10_0480,The traffic light is red. The road is clear.
15,2022-07-14--14-32-55--10_0481,The traffic light is red. The road is clear.
16,2022-07-14--14-32-55--10_0482,The traffic light is red. The road is clear.
17,2022-07-14--14-32-55--10_0483,The traffic light is red. The road is clear.
18,2022-07-14--14-32-55--10_0484,The traffic light is red. The road is clear.
19,2022-07-14--14-32-55--10_0485,The traffic light is red. The road is clear.
20,2022-07-14--14-32-55--10_0486,The traffic light is red. The road is clear.
21,2022-07-14--14-32-55--10_0487,The traffic light is red. The road is clear.
22,2022-07-14--14-32-55--10_0488,The traffic light is red. The road is clear.
23,2022-07-14--14-32-55--10_0489,The traffic light is red. The road is clear.
24,2022-07-14--14-32-55--10_0490,The traffic light is red. The road is clear.
25,2022-07-14--14-32-55--10_0491,The traffic light is red. The road is clear.
26,2022-07-14--14-32-55--10_0492,The traffic light is red. The road is clear.
27,2022-07-14--14-32-55--10_0493,The traffic light is red. The road is clear.
28,2022-07-14--14-32-55--10_0494,The traffic light is red. The road is clear.
29,2022-07-14--14-32-55--10_0495,The traffic light is red. The road is clear.
30,2022-07-14--14-32-55--10_0496,The traffic light is red. The road is clear.
31,2022-07-14--14-32-55--10_0497,The traffic light is red. The road is clear.
32,2022-07-14--14-32-55--10_0498,The traffic light is red. The road is clear.
33,2022-07-14--14-32-55--10_0499,The traffic light is red. The road is clear.
34,2022-07-14--14-32-55--10_0500,The traffic light is red. The road is clear.
35,2022-07-14--14-32-55--10_0501,The traffic light is red. The road is clear.
